device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds
DEV-0124,,2026-03-03 23:32:42.509339,ORD-000000,21,FAB-C,AREA-2,SYS-BETA,23,4,19,13,1,12,6,2,5,4,1,2,3,1,83
DEV-0165,SER-015,2026-03-21 03:52:43.805985,ORD-000001,758,FAB-B,,SYS-BETA,14,5,16,11,2,8,6,2,3,2,1,5,3,15,914
DEV-0088,,2026-03-05 02:07:59.898299,ORD-000002,240,FAB-B,AREA-1,SYS-ALPHA,1,7,22,18,5,12,13,1,6,3,1,4,2,7,421
DEV-0047,,2026-03-10 14:13:53.024238,ORD-000003,35,FAB-C,AREA-2,SYS-GAMMA,1,4,13,10,2,5,6,1,4,3,1,4,1,1,61
DEV-0011,TYP-040,2026-03-15 09:39:20.774385,ORD-000004,4266,FAB-B,AREA-2,SYS-GAMMA,16,4,20,13,1,13,9,2,5,3,1,2,1,71,4276
DEV-0122,EQP-028,2026-03-29 22:23:34.248231,ORD-000005,9,FAB-B,AREA-3,SYS-BETA,52,6,15,10,3,6,4,2,6,5,1,3,1,1,112
DEV-0142,,2026-03-18 21:08:14.415020,ORD-000006,920,FAB-A,,SYS-BETA,38,4,27,13,2,16,9,1,6,2,1,5,2,15,938
DEV-0025,MDL-016,2026-03-03 18:17:59.510802,ORD-000007,1212,FAB-C,AREA-3,SYS-GAMMA,26,3,19,7,1,13,3,1,3,3,1,3,1,15,926
DEV-0152,SER-017,2026-03-29 05:12:42.739927,ORD-000008,58,FAB-A,AREA-3,SYS-GAMMA,11,5,24,12,2,15,7,2,4,4,1,5,1,1,71
DEV-0108,TYP-048,2026-03-10 10:47:37.148753,ORD-000009,19,FAB-A,AREA-2,SYS-ALPHA,1,6,24,11,3,18,6,2,4,4,1,2,1,1,61
DEV-0073,TYP-013,2026-03-28 01:53:10.032374,ORD-000010,169,FAB-B,AREA-2,SYS-ALPHA,19,4,17,15,2,8,10,1,4,4,1,5,1,2,139
DEV-0172,EQP-021,2026-03-20 18:35:21.122737,ORD-000011,889,FAB-A,,SYS-BETA,6,5,25,10,2,16,7,2,7,2,1,2,1,18,1086
DEV-0149,TYP-009,2026-03-04 16:00:28.531243,ORD-000012,258,FAB-B,AREA-3,SYS-BETA,5,8,25,15,5,14,11,2,6,2,1,5,2,8,485
DEV-0102,TYP-005,2026-03-24 18:36:11.193398,ORD-000013,863,FAB-C,AREA-2,SYS-GAMMA,1,7,14,17,4,7,10,2,3,5,1,4,2,25,1501
DEV-0000,TYP-048,2026-03-20 05:01:41.774961,ORD-000014,855,FAB-A,AREA-1,SYS-GAMMA,12,7,16,16,5,7,9,1,5,4,1,4,3,24,1452
DEV-0112,TYP-011,2026-03-17 21:02:14.383150,ORD-000015,1496,FAB-C,AREA-1,SYS-BETA,1,5,20,10,1,13,5,2,3,2,2,4,3,31,1861
DEV-0029,TYP-041,2026-03-30 20:22:28.192348,ORD-000016,80,FAB-A,,SYS-GAMMA,10,6,24,15,3,16,8,1,3,4,2,5,3,2,130
DEV-0130,EQP-027,2026-03-01 17:38:48.817545,ORD-000017,439,FAB-B,,SYS-GAMMA,3,4,22,15,2,16,9,1,2,3,1,4,3,7,423
DEV-0148,MDL-036,2026-03-17 14:04:58.289099,ORD-000018,4005,FAB-A,AREA-1,SYS-BETA,2,6,21,18,3,13,11,2,4,5,1,4,2,100,6002
DEV-0146,EQP-050,2026-03-25 06:09:14.669993,ORD-000019,269,FAB-B,AREA-2,SYS-ALPHA,33,8,23,17,5,12,13,2,6,2,1,5,2,8,513
DEV-0009,SER-047,2026-03-02 03:00:59.013752,ORD-000020,42,FAB-B,AREA-1,SYS-BETA,33,4,23,14,2,17,10,1,4,1,1,2,3,1,93
DEV-0067,TYP-042,2026-03-28 07:49:19.719166,ORD-000021,227,FAB-C,AREA-1,SYS-ALPHA,25,3,26,10,1,16,7,1,5,1,1,5,2,2,145
DEV-0158,TYP-014,2026-03-22 15:02:56.383047,ORD-000022,45,FAB-A,,SYS-BETA,3,3,23,6,1,14,3,1,4,2,1,5,1,1,63
DEV-0083,SER-017,2026-03-21 22:30:13.674124,ORD-000023,600,FAB-B,AREA-2,SYS-GAMMA,10,5,18,12,1,9,4,2,5,4,2,4,4,12,730
DEV-0156,SER-006,2026-03-15 01:05:13.619605,ORD-000024,1634,FAB-A,AREA-2,SYS-ALPHA,53,4,19,11,2,13,5,1,3,4,1,3,2,27,1673
DEV-0139,,2026-03-07 02:24:28.827848,ORD-000025,33,FAB-A,AREA-3,SYS-ALPHA,1,7,25,17,3,15,10,3,6,5,1,4,2,1,61
DEV-0060,EQP-028,2026-03-01 21:24:47.206504,ORD-000026,141,FAB-B,,SYS-GAMMA,4,4,23,13,1,14,6,1,6,3,2,3,4,2,124
DEV-0190,,2026-03-08 18:00:48.491289,ORD-000027,281,FAB-B,,SYS-ALPHA,4,5,21,14,1,12,7,2,5,3,2,4,4,5,304
DEV-0174,SER-017,2026-03-05 12:02:05.839330,ORD-000028,943,FAB-A,,SYS-ALPHA,15,9,17,19,6,12,14,2,3,2,1,2,3,35,2115
DEV-0138,SER-006,2026-03-10 05:28:19.857330,ORD-000029,1374,FAB-B,AREA-3,SYS-ALPHA,1,7,30,13,5,20,8,1,6,3,1,4,2,40,2401
DEV-0119,,2026-03-14 23:15:32.604762,ORD-000030,2576,FAB-C,AREA-3,SYS-ALPHA,1107,5,23,15,3,18,9,1,3,4,1,2,2,53,4287
DEV-0095,SER-019,2026-03-25 22:48:13.306347,ORD-000031,19,FAB-C,AREA-2,SYS-GAMMA,17,6,23,14,3,14,9,2,6,2,1,3,3,1,77
DEV-0104,TYP-009,2026-03-05 06:43:40.167111,ORD-000032,7,FAB-A,AREA-3,SYS-BETA,2,4,15,8,2,11,4,1,2,3,1,2,1,1,62
DEV-0107,EQP-050,2026-03-30 00:50:45.437710,ORD-000033,236,FAB-C,,SYS-GAMMA,25,8,26,15,5,17,7,1,3,4,2,6,4,7,445
DEV-0113,,2026-03-07 08:42:55.882880,ORD-000034,110,FAB-A,,SYS-ALPHA,4,7,25,13,4,16,10,2,5,2,1,4,1,3,184
DEV-0164,TYP-048,2026-03-18 07:01:16.248317,ORD-000035,321,FAB-C,AREA-2,SYS-BETA,19,6,14,11,3,8,6,1,2,3,2,4,2,8,499
DEV-0059,MDL-007,2026-03-06 15:10:52.443783,ORD-000036,87,FAB-A,,SYS-BETA,1,5,18,10,1,7,4,2,7,2,2,4,4,1,61
DEV-0060,EQP-028,2026-03-03 07:26:27.466973,ORD-000037,54,FAB-B,,SYS-GAMMA,15,7,15,14,4,6,7,2,4,4,1,5,3,1,75
DEV-0151,SER-029,2026-03-03 02:28:12.437350,ORD-000038,37,FAB-A,,SYS-BETA,4,4,23,11,1,14,6,2,4,2,1,5,3,1,64
DEV-0113,,2026-03-17 21:41:31.845213,ORD-000039,10,FAB-A,,SYS-ALPHA,16,4,13,10,1,4,4,2,5,3,1,4,3,1,76
DEV-0135,TYP-014,2026-03-08 04:36:06.507509,ORD-000040,37,FAB-B,AREA-3,SYS-BETA,6,3,13,9,1,4,3,1,6,4,1,3,2,1,66
DEV-0109,,2026-03-04 08:57:46.538901,ORD-000041,115,FAB-A,,SYS-ALPHA,33,7,23,16,4,16,12,2,5,3,1,2,1,3,213
DEV-0033,,2026-03-29 07:47:35.524276,ORD-000042,200,FAB-C,AREA-3,SYS-GAMMA,10,9,30,14,7,19,9,1,6,3,1,5,2,7,430
DEV-0079,MDL-008,2026-03-18 06:46:24.404483,ORD-000043,197,FAB-C,AREA-2,SYS-GAMMA,4,5,16,14,3,7,11,1,6,2,1,3,1,4,244
DEV-0057,,2026-03-29 00:09:37.713518,ORD-000044,874,FAB-C,,SYS-ALPHA,2,18,28,23,16,18,19,1,6,1,1,4,3,65,3902
