device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds,_label,_is_slow_device
DEV-0142,,2026/03/18 09:08:14 PM,ORD-000000,920,FAB-B,AREA-1,SYS-ALPHA,7,5,28,14,3,17,10,1,6,2,1,5,2,19,1147,normal,False
DEV-0025,,2026/03/03 06:17:59 PM,ORD-000001,1212,FAB-C,,SYS-BETA,18,5,21,9,2,14,4,2,4,4,1,3,1,25,1518,normal,False
DEV-0152,PRODUCTION,2026/03/29 05:12:42 AM,ORD-000002,58,FAB-B,,SYS-BETA,3,3,22,10,1,14,6,1,3,3,1,5,1,1,63,normal,False
DEV-0108,,2026/03/10 10:47:37 AM,ORD-000003,19,FAB-B,AREA-3,SYS-BETA,5,4,22,9,1,16,4,2,4,4,1,2,1,1,65,normal,False
DEV-0073,PRODUCTION,2026/03/28 01:53:10 AM,ORD-000004,169,FAB-B,AREA-3,SYS-BETA,5,3,16,14,1,7,9,1,4,4,1,5,1,2,125,normal,False
DEV-0172,,2026/03/20 06:35:21 PM,ORD-000005,889,FAB-C,AREA-3,SYS-BETA,10,5,25,10,2,16,7,2,7,2,1,2,1,18,1090,normal,False
DEV-0149,ENGINEERING,2026/03/04 04:00:28 PM,ORD-000006,258,FAB-B,AREA-2,SYS-GAMMA,14,6,23,13,4,13,10,1,5,1,1,5,2,6,374,normal,False
DEV-0102,STANDBY,2026/03/24 06:36:11 PM,ORD-000007,863,FAB-A,AREA-2,SYS-ALPHA,8,4,11,14,2,5,8,1,2,4,1,4,2,14,848,normal,False
DEV-0000,PRODUCTION,2026/03/20 05:01:41 AM,ORD-000008,855,FAB-C,AREA-1,SYS-GAMMA,1,5,14,14,3,5,7,1,5,4,1,4,3,17,1021,normal,False
DEV-0112,STANDBY,2026/03/17 09:02:14 PM,ORD-000009,1496,FAB-C,AREA-3,SYS-GAMMA,11,4,19,9,1,13,5,2,3,2,1,3,2,24,1451,normal,False
DEV-0029,PRODUCTION,2026/03/30 08:22:28 PM,ORD-000010,80,FAB-B,,SYS-GAMMA,52,7,25,16,4,17,9,2,4,5,1,4,2,2,172,normal,False
DEV-0130,ENGINEERING,2026/03/01 05:38:48 PM,ORD-000011,439,FAB-C,,SYS-ALPHA,4,5,23,16,2,16,9,1,2,3,2,5,4,9,544,normal,False
DEV-0148,STANDBY,2026/03/17 02:04:58 PM,ORD-000012,4005,FAB-C,,SYS-GAMMA,4,5,20,17,3,13,11,1,3,4,1,4,2,83,4984,normal,False
DEV-0146,ENGINEERING,2026/03/25 06:09:14 AM,ORD-000013,269,FAB-B,AREA-2,SYS-BETA,19,4,19,13,1,8,9,2,6,2,1,5,2,4,259,normal,False
DEV-0009,,2026/03/02 03:00:59 AM,ORD-000014,42,FAB-C,AREA-1,SYS-BETA,29,6,25,16,4,19,12,1,4,1,1,2,3,1,89,normal,False
DEV-0067,PRODUCTION,2026/03/28 07:49:19 AM,ORD-000015,227,FAB-C,AREA-3,SYS-ALPHA,5,7,30,14,4,19,10,1,5,1,2,6,3,6,365,normal,False
DEV-0158,ENGINEERING,2026/03/22 03:02:56 PM,ORD-000016,45,FAB-A,AREA-1,SYS-GAMMA,32,4,24,7,2,15,4,1,4,2,1,5,1,1,92,normal,False
DEV-0083,STANDBY,2026/03/21 10:30:13 PM,ORD-000017,600,FAB-A,AREA-1,SYS-GAMMA,12,6,19,13,2,10,5,2,5,4,2,4,4,15,912,normal,False
DEV-0156,PRODUCTION,2026/03/15 01:05:13 AM,ORD-000018,1634,FAB-B,AREA-2,SYS-GAMMA,11,4,19,11,2,13,5,1,3,4,1,3,2,27,1631,normal,False
DEV-0139,ENGINEERING,2026/03/07 02:24:28 AM,ORD-000019,33,FAB-A,,SYS-GAMMA,10,5,23,15,2,14,9,2,5,4,1,4,2,1,70,normal,False
DEV-0060,,2026/03/01 09:24:47 PM,ORD-000020,141,FAB-C,AREA-1,SYS-ALPHA,7,6,25,15,4,17,9,1,6,3,1,2,3,3,187,normal,False
DEV-0190,ENGINEERING,2026/03/08 06:00:48 PM,ORD-000021,281,FAB-B,AREA-2,SYS-BETA,2,6,22,15,4,15,10,1,4,2,1,3,3,7,422,normal,False
DEV-0174,ENGINEERING,2026/03/05 12:02:05 PM,ORD-000022,943,FAB-B,,SYS-BETA,24,6,14,16,3,9,11,2,3,2,1,2,3,23,1404,normal,False
DEV-0138,STANDBY,2026/03/10 05:28:19 AM,ORD-000023,1374,FAB-C,AREA-1,SYS-ALPHA,1,5,28,11,2,17,5,2,7,4,1,4,2,28,1681,normal,False
DEV-0119,STANDBY,2026/03/14 11:15:32 PM,ORD-000024,2576,FAB-A,,SYS-GAMMA,1131,5,23,15,3,18,9,1,3,4,1,2,2,53,4311,queue_stuck,False
DEV-0095,ENGINEERING,2026/03/25 10:48:13 PM,ORD-000025,19,FAB-C,AREA-1,SYS-BETA,6,4,21,12,2,13,8,1,5,1,1,3,3,1,66,normal,False
DEV-0104,PRODUCTION,2026/03/05 06:43:40 AM,ORD-000026,7,FAB-B,AREA-3,SYS-GAMMA,10,7,18,11,5,14,7,1,2,3,1,2,1,1,70,normal,False
DEV-0107,STANDBY,2026/03/30 12:50:45 AM,ORD-000027,236,FAB-A,AREA-1,SYS-GAMMA,5,6,24,13,3,15,5,1,3,4,2,6,4,5,305,normal,False
DEV-0113,PRODUCTION,2026/03/07 08:42:55 AM,ORD-000028,110,FAB-C,AREA-3,SYS-GAMMA,1,5,23,11,2,14,8,2,5,2,1,4,1,2,121,normal,False
DEV-0164,ENGINEERING,2026/03/18 07:01:16 AM,ORD-000029,321,FAB-A,AREA-2,SYS-ALPHA,10,6,14,11,4,9,7,1,2,3,1,3,1,8,490,normal,False
DEV-0059,STANDBY,2026/03/06 03:10:52 PM,ORD-000030,87,FAB-B,AREA-2,SYS-ALPHA,4,8,21,13,5,11,8,1,6,1,2,4,4,2,124,normal,False
DEV-0060,,2026/03/03 07:26:27 AM,ORD-000031,54,FAB-C,AREA-1,SYS-ALPHA,11,4,12,11,1,3,4,2,4,4,1,5,3,1,71,normal,False
DEV-0151,,2026/03/03 02:28:12 AM,ORD-000032,37,FAB-A,,SYS-ALPHA,1,7,26,14,4,17,9,2,4,2,1,5,3,1,61,normal,False
DEV-0113,PRODUCTION,2026/03/17 09:41:31 PM,ORD-000033,10,FAB-C,AREA-3,SYS-GAMMA,3,3,12,9,1,4,4,1,4,2,1,4,3,1,63,normal,False
DEV-0135,STANDBY,2026/03/08 04:36:06 AM,ORD-000034,37,FAB-C,,SYS-GAMMA,17,5,15,11,2,5,4,2,7,5,1,3,2,1,77,normal,False
DEV-0109,PRODUCTION,2026/03/04 08:57:46 AM,ORD-000035,115,FAB-B,AREA-2,SYS-BETA,1,6,22,15,4,16,12,1,4,2,1,2,1,2,121,normal,False
DEV-0033,STANDBY,2026/03/29 07:47:35 AM,ORD-000036,200,FAB-B,AREA-2,SYS-BETA,25,9,30,14,6,18,8,2,7,4,1,5,2,7,445,normal,False
DEV-0079,STANDBY,2026/03/18 06:46:24 AM,ORD-000037,197,FAB-A,AREA-2,SYS-BETA,34,5,16,14,3,7,11,1,6,2,1,3,1,4,274,normal,False
DEV-0057,ENGINEERING,2026/03/29 12:09:37 AM,ORD-000038,874,FAB-A,AREA-2,SYS-GAMMA,6,16,26,21,13,15,16,2,7,2,1,4,3,58,3486,normal,True
DEV-0017,ENGINEERING,2026/03/06 05:41:22 AM,ORD-000039,45,FAB-C,AREA-2,SYS-ALPHA,1,6,24,11,3,16,7,2,3,2,1,5,2,1,61,normal,False
DEV-0145,STANDBY,2026/03/14 12:16:46 AM,ORD-000040,276,FAB-B,,SYS-GAMMA,1,5,11,8,1,5,2,2,3,3,2,3,3,5,301,normal,False
DEV-0088,PRODUCTION,2026/03/19 06:56:55 AM,ORD-000041,122,FAB-A,AREA-3,SYS-ALPHA,3,4,20,12,1,11,6,2,7,5,1,2,1,2,123,normal,False
DEV-0054,,2026/03/05 04:45:04 AM,ORD-000042,561,FAB-B,,SYS-GAMMA,5,7,17,12,4,7,5,2,5,4,1,5,3,16,965,normal,False
DEV-0090,,2026/03/13 01:14:28 PM,ORD-000043,7,FAB-C,AREA-1,SYS-ALPHA,12,5,21,9,2,11,4,2,6,2,1,4,3,1,72,normal,False
DEV-0103,ENGINEERING,2026/03/08 01:27:19 PM,ORD-000044,25,FAB-B,AREA-3,SYS-BETA,4,6,24,16,2,17,8,2,4,5,2,3,3,1,64,normal,False
DEV-0086,STANDBY,2026/03/25 09:52:47 PM,ORD-000045,15,FAB-C,,SYS-BETA,10,6,20,11,2,12,6,2,3,2,2,5,3,1,70,normal,False
DEV-0037,STANDBY,2026/03/24 02:24:19 AM,ORD-000046,16,FAB-A,AREA-1,SYS-GAMMA,3,6,27,11,4,18,6,1,6,2,1,3,3,1,63,normal,False
DEV-0162,PRODUCTION,2026/03/25 03:35:47 AM,ORD-000047,3323,FAB-A,AREA-3,SYS-ALPHA,2,4,20,8,2,11,4,1,4,2,1,5,2,55,3302,normal,False
DEV-0018,,2026/03/26 10:42:52 PM,ORD-000048,165,FAB-B,AREA-3,SYS-GAMMA,1,6,15,13,4,11,9,1,2,1,1,2,3,4,241,normal,False
DEV-0189,STANDBY,2026/03/25 03:36:11 PM,ORD-000049,1460,FAB-A,AREA-2,SYS-BETA,7,17,35,26,14,25,22,2,7,3,1,3,1,103,6187,normal,True
DEV-0021,STANDBY,2026/03/06 02:26:11 AM,ORD-000050,94,FAB-A,AREA-2,SYS-GAMMA,2,6,24,17,3,16,11,2,3,3,1,5,3,2,122,normal,False
DEV-0153,ENGINEERING,2026/03/27 02:26:22 AM,ORD-000051,45,FAB-B,AREA-3,SYS-BETA,1,6,20,9,3,10,5,2,5,2,1,5,2,1,61,normal,False
DEV-0038,STANDBY,2026/03/03 05:58:21 PM,ORD-000052,199,FAB-B,AREA-1,SYS-ALPHA,31,7,17,18,4,10,11,2,4,4,1,3,3,5,331,normal,False
DEV-0179,ENGINEERING,2026/03/29 09:07:03 PM,ORD-000053,839,FAB-C,,SYS-BETA,5,6,18,16,3,13,9,2,3,5,1,2,2,20,1205,normal,False
DEV-0049,PRODUCTION,2026/03/24 12:33:40 PM,ORD-000054,13,FAB-A,AREA-3,SYS-ALPHA,30,8,17,12,4,10,6,2,4,2,2,3,4,1,90,normal,False
DEV-0197,PRODUCTION,2026/03/24 03:21:43 AM,ORD-000055,469,FAB-B,,SYS-ALPHA,15,7,21,14,4,12,10,2,6,2,1,3,2,13,795,normal,False
DEV-0061,PRODUCTION,2026/03/16 10:13:40 AM,ORD-000056,257,FAB-A,AREA-2,SYS-ALPHA,33,3,18,13,1,8,9,1,5,2,1,5,2,3,213,normal,False
DEV-0064,PRODUCTION,2026/03/09 04:28:51 PM,ORD-000057,35,FAB-B,AREA-3,SYS-BETA,1,8,27,10,6,19,8,1,4,1,1,4,1,1,61,normal,False
