device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds
DEV-0124,,2026/03/03 11:32:42 PM,ORD-000000,21,FAB-C,AREA-2,SYS-BETA,23,4,19,13,1,12,6,2,5,4,1,2,3,1,83
DEV-0165,SER-015,2026/03/21 03:52:43 AM,ORD-000001,758,FAB-B,,SYS-BETA,14,5,16,11,2,8,6,2,3,2,1,5,3,15,914
DEV-0088,,2026/03/05 02:07:59 AM,ORD-000002,240,FAB-B,AREA-1,SYS-ALPHA,1,7,22,18,5,12,13,1,6,3,1,4,2,7,421
DEV-0047,,2026/03/10 02:13:53 PM,ORD-000003,35,FAB-C,AREA-2,SYS-GAMMA,1,4,13,10,2,5,6,1,4,3,1,4,1,1,61
DEV-0011,TYP-040,2026/03/15 09:39:20 AM,ORD-000004,4266,FAB-B,AREA-2,SYS-GAMMA,16,4,20,13,1,13,9,2,5,3,1,2,1,71,4276
DEV-0122,EQP-028,2026/03/29 10:23:34 PM,ORD-000005,9,FAB-B,AREA-3,SYS-BETA,52,6,15,10,3,6,4,2,6,5,1,3,1,1,112
DEV-0142,,2026/03/18 09:08:14 PM,ORD-000006,920,FAB-A,,SYS-BETA,38,4,27,13,2,16,9,1,6,2,1,5,2,15,938
DEV-0025,MDL-016,2026/03/03 06:17:59 PM,ORD-000007,1212,FAB-C,AREA-3,SYS-GAMMA,26,3,19,7,1,13,3,1,3,3,1,3,1,15,926
DEV-0152,SER-017,2026/03/29 05:12:42 AM,ORD-000008,58,FAB-A,AREA-3,SYS-GAMMA,11,5,24,12,2,15,7,2,4,4,1,5,1,1,71
DEV-0108,TYP-048,2026/03/10 10:47:37 AM,ORD-000009,19,FAB-A,AREA-2,SYS-ALPHA,1,6,24,11,3,18,6,2,4,4,1,2,1,1,61
DEV-0073,TYP-013,2026/03/28 01:53:10 AM,ORD-000010,169,FAB-B,AREA-2,SYS-ALPHA,19,4,17,15,2,8,10,1,4,4,1,5,1,2,139
DEV-0172,EQP-021,2026/03/20 06:35:21 PM,ORD-000011,889,FAB-A,,SYS-BETA,6,5,25,10,2,16,7,2,7,2,1,2,1,18,1086
DEV-0149,TYP-009,2026/03/04 04:00:28 PM,ORD-000012,258,FAB-B,AREA-3,SYS-BETA,5,8,25,15,5,14,11,2,6,2,1,5,2,8,485
