device_id,device_mode_name,order_created_at,order_id,file_count,loc_1,loc_2,system_name,queue_duration_seconds,per_file_duration_avg_seconds,per_file_duration_max_seconds,per_file_duration_p95_seconds,device_duration_avg_seconds,device_duration_max_seconds,device_duration_p95_seconds,db_duration_avg_seconds,db_duration_max_seconds,db_duration_p95_seconds,inner_processing_duration_avg_seconds,inner_processing_duration_max_seconds,inner_processing_duration_p95_seconds,total_file_duration_minutes,total_duration_seconds,_label,_is_slow_device
DEV-0624,MDL-022,2026-03-25 00:16:41.005903,ORD-000000,34,FAB-C,,SYS-ALPHA,23,4,20,14,1,10,9,2,7,2,1,3,3,1,83,normal,False
DEV-0144,TYP-009,2026-03-17 20:36:38.446045,ORD-000001,226,FAB-B,AREA-3,SYS-BETA,14,5,17,14,2,8,9,2,5,2,1,4,3,4,254,normal,False
DEV-0165,TYP-042,2026-03-02 12:16:52.906718,ORD-000002,643,FAB-B,AREA-2,SYS-BETA,1,7,14,12,5,7,7,1,2,3,1,5,2,18,1081,normal,False
DEV-1584,MDL-007,2026-03-11 05:56:33.233342,ORD-000003,26,FAB-C,AREA-3,SYS-GAMMA,1,4,20,14,2,14,10,1,3,1,1,3,3,1,61,normal,False
DEV-0866,EQP-026,2026-03-21 15:45:39.336249,ORD-000004,9,FAB-B,AREA-2,SYS-GAMMA,16,4,17,15,1,10,9,2,5,4,1,2,2,1,76,normal,False
DEV-1936,TYP-012,2026-03-30 02:12:13.038673,ORD-000005,367,FAB-C,AREA-1,SYS-BETA,52,6,15,11,3,6,5,2,4,5,1,5,1,9,592,normal,False
DEV-1427,SER-033,2026-03-14 15:36:58.098245,ORD-000006,14,FAB-A,AREA-1,SYS-GAMMA,38,4,14,12,2,8,9,1,3,1,1,3,2,1,98,normal,False
DEV-0475,SER-002,2026-03-22 05:58:16.146292,ORD-000007,832,FAB-B,AREA-1,SYS-GAMMA,26,3,20,13,1,12,7,1,4,4,1,4,2,10,626,normal,False
DEV-0622,TYP-004,2026-03-10 03:02:44.848764,ORD-000008,279,FAB-C,AREA-2,SYS-GAMMA,11,5,24,12,2,16,7,2,5,3,1,3,2,5,311,normal,False
DEV-1266,SER-044,2026-03-02 14:04:37.660862,ORD-000009,1728,FAB-A,AREA-2,SYS-ALPHA,1,6,17,11,3,7,6,2,7,4,1,3,1,43,2581,normal,False
DEV-0533,,2026-03-17 17:24:00.270000,ORD-000010,102,FAB-C,AREA-3,SYS-GAMMA,19,4,24,10,2,14,8,1,6,1,1,4,1,1,79,normal,False
